1	0.3743573427	4.5980377197	43.1372090000
2	0.1674589515	2.9030013084	46.7252210000
3	0.1343473196	2.8990671635	46.8048980000
4	0.1159240231	2.8675496578	46.8642000000
5	0.1032543182	2.8683001995	46.8752000000
6	0.0936818197	2.8625369072	46.9136300000
7	0.0860973224	2.8460333347	46.9392390000
8	0.0798557028	2.8222472668	46.9630170000
9	0.0745388567	2.7904520035	46.9766760000
10	0.0699063540	2.7464497089	46.9723770000
11	0.0658279210	2.6818344593	46.9884050000
12	0.0622212254	2.5857336521	47.0116320000
13	0.0590097494	2.4509906769	47.0273040000
14	0.0561259165	2.3028249741	47.0293850000
15	0.0535137840	2.2358043194	47.0451070000
16	0.0511324815	2.1788415909	47.0618370000
17	0.0489544161	2.1316993237	47.0810570000
18	0.0469551757	2.0920383930	47.0869900000
19	0.0451129712	2.0742380619	47.0867650000
20	0.0434077382	2.0778644085	47.0959420000
21	0.0418239981	2.0821781158	47.1318700000
22	0.0403467789	2.0861842632	47.1218490000
23	0.0389659293	2.0882205963	47.1223760000
24	0.0376730561	2.0865774155	47.1362850000
25	0.0364587493	2.0802898407	47.1445690000
26	0.0353132486	2.0697658062	47.1666090000
27	0.0342278257	2.0560936928	47.1775660000
28	0.0331950039	2.0404891968	47.1836820000
29	0.0322101861	2.0242609978	47.1868030000
30	0.0312710069	2.0088481903	47.1934850000
