1	0.3743789763	4.5980374788
2	0.1674672626	2.9029920372
3	0.1343523549	2.8990619617
4	0.1159298578	2.8675186743
5	0.1032595606	2.8682161141
6	0.0936879536	2.8624362155
7	0.0861021216	2.8459126271
8	0.0798598939	2.8220939820
9	0.0745426304	2.7902554844
10	0.0699093992	2.7461799172
11	0.0658310457	2.6814479541
12	0.0622240784	2.5851566250
13	0.0590120519	2.4501551153
14	0.0561279418	2.3018385229
15	0.0535153913	2.2348764236
16	0.0511339743	2.1779988156
17	0.0489557132	2.1309310425
18	0.0469564665	2.0913235751
19	0.0451137922	2.0744391199
20	0.0434087530	2.0780951072
21	0.0418247554	2.0824599497
22	0.0403474721	2.0865210094
23	0.0389666897	2.0886057897
24	0.0376738201	2.0869872548
25	0.0364594659	2.0806994714
26	0.0353138911	2.0701175360
27	0.0342282069	2.0563649863
28	0.0331955119	2.0406543040
29	0.0322108640	2.0243044305
30	0.0312718770	2.0090355716
