1	12.0174470000
2	12.0780630000
3	12.0786450000
4	12.0771690000
5	12.0738090000
6	12.0709420000
7	12.1815190000
8	12.1950790000
9	12.1982940000
10	12.2011080000
11	12.2222390000
12	12.2375140000
13	12.2389810000
14	12.2375920000
15	12.2376240000
16	12.2359350000
17	12.2333630000
18	12.2384180000
19	12.2417790000
20	12.2395000000
21	12.2379500000
22	12.2428220000
23	12.2414630000
24	12.2428170000
25	12.2408900000
26	12.2966360000
27	12.3196080000
28	12.3200590000
29	12.3198320000
30	12.3207000000
