1	31.5777940000
2	35.1061660000
3	35.1893060000
4	35.2236230000
5	35.2692510000
6	35.2778210000
7	35.2976590000
8	35.3444160000
9	35.3402410000
10	35.3853080000
11	35.4092840000
12	35.4448960000
13	35.7287310000
14	35.6886480000
15	35.7231110000
16	35.4185530000
17	35.4262210000
18	35.4705870000
19	35.4658160000
20	35.4895960000
21	35.5085590000
22	35.5305410000
23	35.5306000000
24	35.5721940000
25	35.5614260000
26	35.5238800000
27	35.5394760000
28	35.5631170000
29	35.5589460000
30	35.5698710000
