1	37.1523250000
2	43.4202800000
3	43.4379400000
4	43.4212990000
5	43.4396210000
6	43.4164270000
7	43.4385160000
8	43.5533020000
9	43.4575360000
10	43.4578210000
11	43.4708820000
12	43.4663150000
13	43.5067180000
14	43.5854100000
15	43.5225130000
16	43.5613610000
17	43.5230080000
18	43.5496120000
19	43.5592910000
20	43.6026040000
21	43.5712650000
22	43.5371590000
23	43.5587310000
24	43.5605290000
25	43.5500450000
26	43.5453700000
27	43.7831830000
28	43.5877600000
29	43.5642450000
30	43.4995600000
