1	0.3743574023	4.5980377197
2	0.1674589217	2.9030005932
3	0.1343472749	2.8990666866
4	0.1159240380	2.8675491810
5	0.1032543108	2.8682990074
6	0.0936818197	2.8625369072
7	0.0860973448	2.8460328579
8	0.0798557475	2.8222463131
9	0.0745388865	2.7904500961
10	0.0699063987	2.7464480400
11	0.0658279061	2.6818311214
12	0.0622212403	2.5857303143
13	0.0590097345	2.4509854317
14	0.0561259091	2.3028247356
15	0.0535138026	2.2358033657
16	0.0511324778	2.1788406372
17	0.0489543900	2.1316983700
18	0.0469551682	2.0920376778
19	0.0451129787	2.0742352009
20	0.0434077196	2.0778627396
21	0.0418240055	2.0821776390
22	0.0403467715	2.0861845016
23	0.0389659554	2.0882201195
24	0.0376730338	2.0865762234
25	0.0364587568	2.0802879333
26	0.0353132486	2.0697634220
27	0.0342278183	2.0560939312
28	0.0331950150	2.0404858589
29	0.0322101973	2.0242586136
30	0.0312710106	2.0088486671
